Code,City,County,State
10010067,ABBEVILLE,HENRY,ALABAMA
10012125,ABERNANT,TUSCALOOSA,ALABAMA
10015115,ACMAR,SAINT CLAIR,ALABAMA
10020073,ADAMSVILLE,JEFFERSON,ALABAMA
10030133,ADDISON,WINSTON,ALABAMA
10035073,ADGER,JEFFERSON,ALABAMA
10040065,AKRON,HALE,ALABAMA
10047117,ALABASTER,SHELBY,ALABAMA
10048131,ALBERTA,WILCOX,ALABAMA
10050095,ALBERTVILLE,MARSHALL,ALABAMA
10060123,ALEXANDER CITY,TALLAPOOSA,ALABAMA
10062015,ALEXANDRIA,CALHOUN,ALABAMA
10070107,ALICEVILLE,PICKENS,ALABAMA
10072025,ALLEN,CLARKE,ALABAMA
10073131,ALLENTON,WILCOX,ALABAMA
10074009,ALLGOOD,BLOUNT,ALABAMA
10075121,ALPINE,TALLADEGA,ALABAMA
10076025,ALMA,CLARKE,ALABAMA
10077073,ALTON,JEFFERSON,ALABAMA
10080055,ALTOONA,ETOWAH,ALABAMA
10090039,ANDALUSIA,COVINGTON,ALABAMA
10096077,ANDERSON,LAUDERDALE,ALABAMA
10100015,ANNISTON,CALHOUN,ALABAMA
10101015,ANNISTON ARMY DEPOT,CALHOUN,ALABAMA
10103109,ANSLEY,PIKE,ALABAMA
10110095,ARAB,MARSHALL,ALABAMA
10120083,ARDMORE,LIMESTONE,ALABAMA
10127073,ARGO,JEFFERSON,ALABAMA
10130045,ARITON,DALE,ALABAMA
10134133,ARLEY,WINSTON,ALABAMA
10135131,ARLINGTON,WILCOX,ALABAMA
10137087,ARMSTRONG,MACON,ALABAMA
10140069,ASHFORD,HOUSTON,ALABAMA
10150027,ASHLAND,CLAY,ALABAMA
10160115,ASHVILLE,SAINT CLAIR,ALABAMA
10170083,ATHENS,LIMESTONE,ALABAMA
10180053,ATMORE,ESCAMBIA,ALABAMA
10190055,ATTALLA,ETOWAH,ALABAMA
10200081,AUBURN,LEE,ALABAMA
10220001,AUTAUGAVILLE,AUTAUGA,ALABAMA
