REGION_NUM,REGION_NAME,FOREST_NAME,RANGER_DISTRICT,CITY,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
3,Southwestern,APACHE-SITGREAVES,ALPINE,ALPINE,AZ,"ALPINE, AZ","Engine, IA Crew/Squad (4-10 person)",YES,,https://www.fs.usda.gov/asnf
3,Southwestern,APACHE-SITGREAVES,BLACK MESA,OVERGAARD,AZ,"OVERGAARD, AZ","Engine, IA Crew/Squad (4-10 person), Hotshot Crew, Prevention",YES,,https://www.fs.usda.gov/asnf
3,Southwestern,APACHE-SITGREAVES,CLIFTON,DUNCAN,AZ,"DUNCAN, AZ",IA Crew/Squad (4-10 person),YES,"Housing available in approximately 20 year old FEMA trailers.  Housing is primarily allocated to fire seasonal employees.  Trailers are triple occupancy and have one private bedroom and one room with two bunk beds.  Rental rates are above average for Forest service duty stations elsewhere in R3.  Bunk beds are not designed for adults and can only comfortably fit individuals up to 5'6.  Rental properties available in Safford and Duncan AZ, approximately 40 minutes to 1 hour one way commute.  Rentals can typically be found in the 600 to 1000/month range.  District housing is not recommended and is in serious disrepair.",https://www.fs.usda.gov/asnf
3,Southwestern,APACHE-SITGREAVES,LAKESIDE,LAKESIDE,AZ,"LAKESIDE, AZ","Engine, Prevention",YES,"Crew quarters currently only has four, two-person units.",https://www.fs.usda.gov/asnf
3,Southwestern,APACHE-SITGREAVES,SPRINGERVILLE,SPRINGERVILLE,AZ,"SPRINGERVILLE, AZ",,,,https://www.fs.usda.gov/asnf
3,Southwestern,COCONINO,FLAGSTAFF,FLAGSTAFF,AZ,"FLAGSTAFF, AZ","Engine, IA Crew/Squad (4-10 person), Hotshot Crew, Prevention",YES,The housing for Flagstaff and Mormon lake is 1 bunkhouse with a few shared rooms at the Mormon Lake Guard Station. 30 minute drive to Flagstaff.,https://www.fs.usda.gov/coconino
3,Southwestern,COCONINO,FLAGSTAFF,MORMON LAKE,AZ,"MORMON LAKE, AZ",,,,https://www.fs.usda.gov/coconino
3,Southwestern,COCONINO,MOGOLLON RIM,HAPPY JACK,AZ,"HAPPY JACK, AZ","Engine, IA Crew/Squad (4-10 person), Hotshot Crew, Fuels, Prevention",YES,"The Coconino actually has two work locations on the Mogollon rim district. They call them both Happy Jack but it's actually Happy Jack and Blue Ridge. Happy Jack is about 40 minute drive from Flagstaff and Blue Ridge is about an hour drive.  ENGINES AT BOTH LOCATIONS, BLUE RIDGE IHC @ BLUE RIDGE",https://www.fs.usda.gov/coconino
3,Southwestern,COCONINO,RED ROCK,SEDONA,AZ,"SEDONA, AZ",,,,https://www.fs.usda.gov/coconino
3,Southwestern,CORONADO,DOUGLAS,DOUGLAS,AZ,"DOUGLAS, AZ",Engine,NO,,https://www.fs.usda.gov/coronado
3,Southwestern,CORONADO,NOGALES,NOGALES,AZ,"NOGALES, AZ",,,,https://www.fs.usda.gov/coronado
3,Southwestern,CORONADO,SAFFORD,SAFFORD,AZ,"SAFFORD, AZ",Engine,NO,,https://www.fs.usda.gov/coronado
3,Southwestern,CORONADO,SANTA CATALINA,TUCSON,AZ,"TUCSON, AZ",,,,https://www.fs.usda.gov/coronado
3,Southwestern,CORONADO,SIERRA VISTA,HEREFORD,AZ,"HEREFORD, AZ",,,,https://www.fs.usda.gov/coronado
3,Southwestern,KAIBAB,NORTH KAIBAB,FREDONIA,AZ,"FREDONIA, AZ",Engine,YES,"But housing and engines are at big springs, main office for the N. Kaibab is in Fredonia.",https://www.fs.usda.gov/kaibab
3,Southwestern,KAIBAB,NORTH KAIBAB,JACOB LAKE,AZ,"JACOB LAKE, AZ","Engine, IA Crew/Squad (4-10 person), Prevention",YES,Housing: Three cabins and a bunch of trailer hookups. - Rumor is they're looking at turning the employee housing into overnight vacation rentals for tourists in the not to distant future,https://www.fs.usda.gov/kaibab
3,Southwestern,KAIBAB,TUSAYAN,TUSAYAN,AZ,"TUSAYAN, AZ",,,,https://www.fs.usda.gov/kaibab
3,Southwestern,KAIBAB,WILLIAMS,WILLIAMS,AZ,"WILLIAMS, AZ","Engine, IA Crew/Squad (4-10 person), Helitack, Fuels, Prevention",YES,Geren Base Work Center/Pittman Valley Helibase,https://www.fs.usda.gov/kaibab
3,Southwestern,PRESCOTT,CHINO VALLEY,CHINO VALLEY,AZ,"CHINO VALLEY, AZ",IA Crew/Squad (4-10 person),NO,,https://www.fs.usda.gov/prescott
3,Southwestern,PRESCOTT,PRESCOTT FIRE CENTER,PRESCOTT,AZ,"PRESCOTT, AZ","Engine, Hotshot Crew, Helitack, Prevention",NO,,https://www.fs.usda.gov/prescott
3,Southwestern,PRESCOTT,VERDE,CAMP VERDE,AZ,"CAMP VERDE, AZ","Engine, Prevention",NO,,https://www.fs.usda.gov/prescott
3,Southwestern,TONTO,CAVE CREEK,CAVECREEK,AZ,"CAVECREEK, AZ","Engine, Prevention",NO,,https://www.fs.usda.gov/tonto/
3,Southwestern,TONTO,CAVE CREEK,SCOTTSDALE,AZ,"SCOTTSDALE, AZ",,,,https://www.fs.usda.gov/tonto/
3,Southwestern,TONTO,GLOBE,GLOBE,AZ,"GLOBE, AZ","Engine, Hotshot Crew",NO,,https://www.fs.usda.gov/tonto/
3,Southwestern,TONTO,MESA,MESA,AZ,"MESA, AZ",,,,https://www.fs.usda.gov/tonto/
3,Southwestern,TONTO,PAYSON,PAYSON,AZ,"PAYSON, AZ","Engine, Hotshot Crew, Helitack, Fuels",NO,"At least for now, young is not staffed separately from Payson. Also, lakeside is Apache Sitgreaves ",https://www.fs.usda.gov/tonto/
3,Southwestern,TONTO,TONTO BASIN,ROOSEVELT,AZ,"ROOSEVELT, AZ",Engine,YES,,https://www.fs.usda.gov/tonto/
3,Southwestern,TONTO,TONTO BASIN,TONTO BASIN,AZ,"TONTO BASIN, AZ",Engine,YES,,https://www.fs.usda.gov/tonto/
4,Intermountain,HUMBOLDT-TOIYABE,BRIDGEPORT,BRIDGEPORT,CA,"BRIDGEPORT, CA",Engine,YES,,http://www.fs.usda.gov/htnf
5,Pacific Southwest,ANGELES,LOS ANGELES GATEWAY,ACTON,CA,"ACTON, CA",Hotshot Crew,YES,,http://www.fs.usda.gov/angeles
5,Pacific Southwest,ANGELES,LOS ANGELES GATEWAY,SAN FERNANDO,CA,"SAN FERNANDO, CA","Engine, Hotshot Crew",YES,The San Fernando or LA Gateway duty location on The Angeles has 10 type 3 engines and 3 hotshot crews 7 of the 10 stations have barracks,http://www.fs.usda.gov/angeles
5,Pacific Southwest,ANGELES,LOS ANGELES GATEWAY,WRIGHTWOOD,CA,"WRIGHTWOOD, CA",,,,http://www.fs.usda.gov/angeles
5,Pacific Southwest,ANGELES,SAN GABRIEL MOUNTAINS NM,GLENDORA,CA,"GLENDORA, CA",,,,http://www.fs.usda.gov/angeles
5,Pacific Southwest,CLEVELAND,DESCANSO,ALPINE,CA,"ALPINE, CA",,,,http://www.fs.usda.gov/cleveland
