REGION,FOREST,DISTRICT,TOWN,STATE,LATITUDE,LONGITUDE,LOCATION,Resource Types,Housing?,NOTES,SITE
"NORTHERN REGION, REGION 1",BEAVERHEAD-DEERLODGE NF,BUTTE RD,BUTTE,MONTANA,,,"BUTTE,MONTANA","Engine, Fuels, Prevention, Type 2/2IA Handcrew (Dedicated 20+person), IA Crew/Squad (4-10 person), Hotshot Crew",NO,,http://www.fs.usda.gov/bdnf
"NORTHERN REGION, REGION 1",BEAVERHEAD-DEERLODGE NF,DILLON RD,DILLON,MONTANA,,,"DILLON,MONTANA","Engine, Type 2/2IA Handcrew, IA Crew/Squad (4-10 person)",YES,Some housing available through university,http://www.fs.usda.gov/bdnf
"NORTHERN REGION, REGION 1",BEAVERHEAD-DEERLODGE NF,MADISON RD,ENNIS,MONTANA,,,"ENNIS,MONTANA",,YES,,http://www.fs.usda.gov/bdnf
"NORTHERN REGION, REGION 1",BEAVERHEAD-DEERLODGE NF,PINTLER RD,PHILIPSBURG,MONTANA,,,"PHILIPSBURG,MONTANA",Engine,YES,,http://www.fs.usda.gov/bdnf
"NORTHERN REGION, REGION 1",BEAVERHEAD-DEERLODGE NF,BUTTE RD,WHITEHALL,MONTANA,,,"WHITEHALL,MONTANA","Engine, IA Crew/Squad (4-10 person)",YES,"I have stayed in the housing, one male one female building. I believe they have 2 T6 engines",http://www.fs.usda.gov/bdnf
"NORTHERN REGION, REGION 1",BEAVERHEAD-DEERLODGE NF,WISDOM RD,WISDOM,MONTANA,,,"WISDOM,MONTANA","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/bdnf
"NORTHERN REGION, REGION 1",BEAVERHEAD-DEERLODGE NF,WISDOM RD,WISE RIVER,MONTANA,,,"WISE RIVER,MONTANA","Engine, IA Crew/Squad (4-10 person), Helitack",YES,"New Helibase construction in Wise River that includes new, additional housing for seasonals (slated to be completed Oct 2022). Will add 8 new seasonal beds",http://www.fs.usda.gov/bdnf
"NORTHERN REGION, REGION 1",BITTERROOT NF,WEST FORK RD,DARBY,MONTANA,,,"DARBY,MONTANA","Engine, IA Crew/Squad (4-10 person), Fuels",YES,"bunkhouse and station are 25 min from town, West Fork ranger station, duty station darby, separate crew/ district from ""Darby/sula"" ",http://www.fs.usda.gov/bitterroot
"NORTHERN REGION, REGION 1",BITTERROOT NF,Supervisors Office,HAMILTON,MONTANA,,,"HAMILTON,MONTANA",Helitack,NO,,http://www.fs.usda.gov/bitterroot
"NORTHERN REGION, REGION 1",BITTERROOT NF,STEVENSVILLE RD,STEVENSVILLE,MONTANA,,,"STEVENSVILLE,MONTANA",Engine,YES,,http://www.fs.usda.gov/bitterroot
"NORTHERN REGION, REGION 1",BITTERROOT NF,SULA RD,SULA,MONTANA,,,"SULA,MONTANA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/bitterroot
"NORTHERN REGION, REGION 1",CUSTER GALLATIN NF,ASHLAND RD,ASHLAND,MONTANA,,,"ASHLAND,MONTANA","Engine, Fuels",YES,,http://www.fs.usda.gov/custergallatin
"NORTHERN REGION, REGION 1",CUSTER GALLATIN NF,BOZEMAN RD,BIG TIMBER,MONTANA,,,"BIG TIMBER,MONTANA",Engine,YES,,http://www.fs.usda.gov/custergallatin
"NORTHERN REGION, REGION 1",CUSTER GALLATIN NF,BOZEMAN RD,BOZEMAN,MONTANA,,,"BOZEMAN,MONTANA",Engine,YES,Very cool location for housing outside of town in the Gallatin Canyon. ,http://www.fs.usda.gov/custergallatin
"NORTHERN REGION, REGION 1",CUSTER GALLATIN NF,SIOUX RD,CAMP CROOK,SOUTH DAKOTA,,,"CAMP CROOK,SOUTH DAKOTA",,,,http://www.fs.usda.gov/custergallatin
"NORTHERN REGION, REGION 1",CUSTER GALLATIN NF,GARDINER RD,GARDINER,MONTANA,,,"GARDINER,MONTANA",,,,http://www.fs.usda.gov/custergallatin
