REGION,FOREST,DISTRICT,TOWN,STATE,LOCATION,Resource Types,Housing,NOTES,Site
"ROCKY MOUNTAIN REGION, REGION 2",WHITE RIVER NF,ASPEN RD,ASPEN,COLORADO,"ASPEN,COLORADO",,,,http://www.fs.usda.gov/whiteriver
"ROCKY MOUNTAIN REGION, REGION 2",ARAPAHO AND ROOSEVELT NF,PAWNEE NATIONAL GRASSLAND,AULT,COLORADO,"AULT,COLORADO",,,,http://www.fs.usda.gov/arp
"ROCKY MOUNTAIN REGION, REGION 2",SAN JUAN NF,COLUMBINE RD,BAYFIELD,COLORADO,"BAYFIELD,COLORADO","Engine, WFM",YES,"Bayfield housing is at Vallecito Work Center and is very limited, with maybe only 2 beds? - An old bunk house at Vallecito where the WFM and Engine are out of. Maybe 2 rooms. Limited rentals in bayfield and Durango. Most are $$$. Home prices are outrageous. Good luck.  - Absolute shithole",http://www.fs.usda.gov/sanjuan
"ROCKY MOUNTAIN REGION, REGION 2",ARAPAHO AND ROOSEVELT NF,BOULDER RD,BOULDER,COLORADO,"BOULDER,COLORADO",IA Crew/Squad (4-10 person),YES,,http://www.fs.usda.gov/arp
"ROCKY MOUNTAIN REGION, REGION 2",BIGHORN NF,POWDER RIVER RD,BUFFALO,WYOMING,"BUFFALO,WYOMING","WFM, ENGINE",YES,"Housing isn’t great, Bunkhouse on the mountain, fairly expensive compared to living in town. There are also RV pads that shut down by sept due to snow. - Housing either at Hunter work Center or a house in town. Every year they tell us the house will be sold, but hasn’t yet",http://www.fs.usda.gov/bighorn
"ROCKY MOUNTAIN REGION, REGION 2",PIKE AND SAN ISABEL NF,SAN CARLOS RD,CANON CITY,COLORADO,"CANON CITY,COLORADO",Engine,No,"Cheap, dorm style housing near station — 350 a month, lots of BLM and USFS employees",http://www.fs.usda.gov/psicc
"ROCKY MOUNTAIN REGION, REGION 2",WHITE RIVER NF,ASPEN RD,CARBONDALE,COLORADO,"CARBONDALE,COLORADO",,,,http://www.fs.usda.gov/whiteriver
"ROCKY MOUNTAIN REGION, REGION 2",WHITE RIVER NF,SOPRIS RD,CARBONDALE,COLORADO,"CARBONDALE,COLORADO",,,,http://www.fs.usda.gov/whiteriver
"ROCKY MOUNTAIN REGION, REGION 2",NEBRASKA NF,PINE RIDGE RD,CHADRON,NEBRASKA,"CHADRON,NEBRASKA","Engine, Fuels",NO,,http://www.fs.usda.gov/nebraska
"ROCKY MOUNTAIN REGION, REGION 2",SHOSHONE NF,WAPITI RD,CODY,WYOMING,"CODY,WYOMING","Engine, WFM, Fuels",Yes,housing 45 mins away no service,http://www.fs.usda.gov/shoshone
"ROCKY MOUNTAIN REGION, REGION 2","GRAND MESA, UNCOMPAHGRE AND GUNNISON NF",GRAND VALLEY RD,COLLBRAN,COLORADO,"COLLBRAN,COLORADO",Job Corps crew,YES,Housing only for job corps students. USFS fire staff not provided housing,
"ROCKY MOUNTAIN REGION, REGION 2",PIKE AND SAN ISABEL NF,PIKES PEAK RD,COLORADO SPGS,COLORADO,"COLORADO SPGS,COLORADO",,,,http://www.fs.usda.gov/psicc
"ROCKY MOUNTAIN REGION, REGION 2",PIKE AND SAN ISABEL NF,SOUTH PLATTE RD,CONIFER,COLORADO,"CONIFER,COLORADO",,,,http://www.fs.usda.gov/psicc
"ROCKY MOUNTAIN REGION, REGION 2",RIO GRANDE NF,DIVIDE RD,CREEDE,COLORADO,"CREEDE,COLORADO",,,,http://www.fs.usda.gov/riogrande
"ROCKY MOUNTAIN REGION, REGION 2",BLACK HILLS NF,HELL CANYON RD,CUSTER,SOUTH DAKOTA,"CUSTER,SOUTH DAKOTA",,,,http://www.fs.usda.gov/blackhills
