REGION,FOREST,DISTRICT,TOWN,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
"INTERMOUNTAIN REGION, REGION 4",BRIDGER-TETON NATIONAL FOREST,GREYS RIVER RANGER DISTRICT,AFTON,WYOMING,"AFTON,WYOMING",Engine,YES,,http://www.fs.usda.gov/btnf
"INTERMOUNTAIN REGION, REGION 4",CARIBOU-TARGHEE NATIONAL FOREST,ASHTON/ISLAND PARK RANGER DISTRICT,ASHTON,IDAHO,"ASHTON,IDAHO",,,,http://www.fs.usda.gov/ctnf
"INTERMOUNTAIN REGION, REGION 4",HUMBOLDT-TOIYABE NATIONAL FOREST,AUSTIN/TONOPAH RANGER DISTRICT,AUSTIN,NEVADA,"AUSTIN,NEVADA",Engine,YES,,http://www.fs.usda.gov/htnf
"INTERMOUNTAIN REGION, REGION 4",FISHLAKE NATIONAL FOREST,BEAVER RANGER DISTRICT,BEAVER,UTAH,"BEAVER,UTAH",,,,http://www.fs.usda.gov/fishlake
"INTERMOUNTAIN REGION, REGION 4",BRIDGER-TETON NATIONAL FOREST,BIG PINEY RANGER DISTRICT,BIG PINEY,WYOMING,"BIG PINEY,WYOMING","Engine, Hotshot Crew, Fuels",YES,,http://www.fs.usda.gov/btnf
"INTERMOUNTAIN REGION, REGION 4",HUMBOLDT-TOIYABE NATIONAL FOREST,BRIDGEPORT RANGER DISTRICT,BRIDGEPORT,CALIFORNIA,"BRIDGEPORT,CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/htnf
"INTERMOUNTAIN REGION, REGION 4",SAWTOOTH NATIONAL FOREST,MINIDOKA RANGER DISTRICT,BURLEY,IDAHO,"BURLEY,IDAHO","Engine, Fuels, Prevention",YES,2 bunkhouses in Malta ,http://www.fs.usda.gov/sawtooth
"INTERMOUNTAIN REGION, REGION 4",HUMBOLDT-TOIYABE NATIONAL FOREST,CARSON RANGER DISTRICT,CARSON CITY,NEVADA,"CARSON CITY,NEVADA","Type 2/2IA Handcrew, IA Crew/Squad (4-10 person), Hotshot Crew, WFM, Helitack, Fuels",YES,"The Carson City duty station has multiple outposts. Carson City proper is home to the Black Mountain IHC, who have their own barracks.
Reno, NV has engines, patrol, and overhead. Jack's Valley, NV has 1 engine. Markleeville, CA has 2 engines. Barracks for engines and misc forest employees is in Markleeville, which is ~1 hour from reno. Further, the barracks in markleeville have only been available for the engines stationed there due to covid for the past 2 years",http://www.fs.usda.gov/htnf
"INTERMOUNTAIN REGION, REGION 4",BOISE NATIONAL FOREST,CASCADE RANGER DISTRICT,CASCADE,IDAHO,"CASCADE,IDAHO","Engine, WFM",YES,,http://www.fs.usda.gov/boise
"INTERMOUNTAIN REGION, REGION 4",DIXIE NATIONAL FOREST,CEDAR CITY RANGER DISTRICT,CEDAR CITY,UTAH,"CEDAR CITY,UTAH","Engine, IA Crew/Squad (4-10 person), Hotshot Crew",NO,,http://www.fs.usda.gov/dixie
"INTERMOUNTAIN REGION, REGION 4",SALMON AND CHALLIS NATIONAL FORESTS,MIDDLE FORK RANGER DISTRICT,CHALLIS,IDAHO,"CHALLIS,IDAHO",,,,http://www.fs.usda.gov/scnf
"INTERMOUNTAIN REGION, REGION 4",SALMON AND CHALLIS NATIONAL FORESTS,CHALLIS & YANKEE FORK RANGER DISTRICT,CHALLIS,IDAHO,"CHALLIS,IDAHO","Engine, Helitack, Fuels, Prevention",YES,Newish bunkhouses for seasonals in Challis ,http://www.fs.usda.gov/scnf
"INTERMOUNTAIN REGION, REGION 4",SALMON AND CHALLIS NATIONAL FORESTS,CHALLIS & YANKEE FORK RANGER DISTRICT,CLAYTON,IDAHO,"CLAYTON,IDAHO","Engine, WFM",YES,Perm and seasonal housing right on the river. 30 min to Challis and Stanley. nearby do-it-all gas station with good food and misc stuff,http://www.fs.usda.gov/scnf
"INTERMOUNTAIN REGION, REGION 4",PAYETTE NATIONAL FOREST,COUNCIL RANGER DISTRICT,COUNCIL,IDAHO,"COUNCIL,IDAHO","Engine, WFM",YES,"Hells Canyon WFM, Type 6 and Type 4 engine",http://www.fs.usda.gov/payette
"INTERMOUNTAIN REGION, REGION 4",CARIBOU-TARGHEE NATIONAL FOREST,TETON BASIN RANGER DISTRICT,DRIGGS,IDAHO,"DRIGGS,IDAHO",,,,http://www.fs.usda.gov/ctnf
"INTERMOUNTAIN REGION, REGION 4",CARIBOU-TARGHEE NATIONAL FOREST,DUBOIS RANGER DISTRICT,DUBOIS,IDAHO,"DUBOIS,IDAHO",,,,http://www.fs.usda.gov/ctnf
"INTERMOUNTAIN REGION, REGION 4",ASHLEY NATIONAL FOREST,DUCHESNE RANGER DISTRICT,DUCHESNE,UTAH,"DUCHESNE,UTAH","Engine, WFM, Prevention",YES,"Duchesne, UT is the duty station for a Zone Fire Management Officer, Zone Assistant Fire Management Officer, a Prevention Technician, Kings Peak WFM, a Type 4 and a Type 6 engine. Housing is available, with priority usually going to temporary employees. Kings Peak WFM is housed in Stockmore Guard Station located about about 35 miles NW of Duchesne. Engine crewmembers are housed in a bunkhouse in Duchesne that is shared with employees from other program areas on the district (Range, Recreation, Wildlife etc.)",http://www.fs.usda.gov/ashley
"INTERMOUNTAIN REGION, REGION 4",ASHLEY NATIONAL FOREST,FLAMING GORGE/VERNAL RANGER DISTRICT,DUTCH JOHN,UTAH,"DUTCH JOHN,UTAH",Engine,YES,,http://www.fs.usda.gov/ashley
"INTERMOUNTAIN REGION, REGION 4",HUMBOLDT-TOIYABE NATIONAL FOREST,"MOUNTAIN CITY, RUBY MOUNTAINS AND JARBIDGE RANGER DISTRICT",ELKO,NEVADA,"ELKO,NEVADA",Hotshot Crew,YES,,http://www.fs.usda.gov/htnf
"INTERMOUNTAIN REGION, REGION 4",HUMBOLDT-TOIYABE NATIONAL FOREST,ELY RANGER DISTRICT,ELY,NEVADA,"ELY,NEVADA","Engine, WFM",YES,,http://www.fs.usda.gov/htnf
"INTERMOUNTAIN REGION, REGION 4",BOISE NATIONAL FOREST,EMMETT RANGER DISTRICT,EMMETT,IDAHO,"EMMETT,IDAHO","Engine, Hotshot Crew, Helitack, Fuels, Prevention",YES,,http://www.fs.usda.gov/boise
"INTERMOUNTAIN REGION, REGION 4",MANTI-LASAL NATIONAL FOREST,SANPETE RANGER DISTRICT,EPHRAIM,UTAH,"EPHRAIM,UTAH",,,,http://www.fs.usda.gov/mantilasal
