REGION,FOREST,DISTRICT,TOWN,STATE,LOCATION,Resource Types,Housing,NOTES,Site
"PACIFIC SOUTHWEST REGION, REGION 5",ANGELES NF,LOS ANGELES GATEWAY RD,ACTON,CALIFORNIA,"ACTON,CALIFORNIA",Hotshot Crew,YES,,http://www.fs.usda.gov/angeles
"PACIFIC SOUTHWEST REGION, REGION 5",MODOC NF,BIG VALLEY RD,ADIN,CALIFORNIA,"ADIN,CALIFORNIA","Engine, Water tender",YES,,http://www.fs.usda.gov/modoc
"PACIFIC SOUTHWEST REGION, REGION 5",CLEVELAND NF,DESCANSO RD,ALPINE,CALIFORNIA,"ALPINE,CALIFORNIA",,,,http://www.fs.usda.gov/cleveland
"PACIFIC SOUTHWEST REGION, REGION 5",MODOC NF,DEVILS GARDEN RD,ALTURAS,CALIFORNIA,"ALTURAS,CALIFORNIA",,,,http://www.fs.usda.gov/modoc
"PACIFIC SOUTHWEST REGION, REGION 5",PLUMAS NF,BECKWOURTH RD,BECKWOURTH,CALIFORNIA,"BECKWOURTH,CALIFORNIA","Hotshot Crew, Prevention",YES,Housing for Beckwourth hotshots provided at district office in Mohawk 20 minutes away. ,http://www.fs.usda.gov/plumas/
"PACIFIC SOUTHWEST REGION, REGION 5",SHASTA-TRINITY NF,BIG BAR RD,BIG BAR,CALIFORNIA,"BIG BAR,CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/stnf/
"PACIFIC SOUTHWEST REGION, REGION 5",INYO NF,WHITE MOUNTAIN RD,BISHOP,CALIFORNIA,"BISHOP,CALIFORNIA",,,,http://www.fs.usda.gov/inyo/
"PACIFIC SOUTHWEST REGION, REGION 5",PLUMAS NF,BECKWOURTH RD,BLAIRSDEN,CALIFORNIA,"BLAIRSDEN,CALIFORNIA","Engine, Prevention, Water Tender",YES,,http://www.fs.usda.gov/plumas/
"PACIFIC SOUTHWEST REGION, REGION 5",SIX RIVERS NF,MAD RIVER RD,BRIDGERVILLE,CALIFORNIA,"BRIDGERVILLE,CALIFORNIA",,,,http://www.fs.usda.gov/srnf/
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,SCOTT-SALMON RD,CALLAHAN,CALIFORNIA,"CALLAHAN,CALIFORNIA",Engine,YES,"Barracks usually have extra space, so Fort Jones will sometimes house guys in Callahan",http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",ELDORADO NF,PLACERVILLE RD,CAMINO,CALIFORNIA,"CAMINO,CALIFORNIA",,,,http://www.fs.usda.gov/eldorado
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,YUBA RIVER RD,CAMPTONVILLE,CALIFORNIA,"CAMPTONVILLE,CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",MODOC NF,DEVILS GARDEN RD,CANBY,CALIFORNIA,"CANBY,CALIFORNIA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/modoc
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,SCOTT-SALMON RD,CECILVILLE,CALIFORNIA,"CECILVILLE,CALIFORNIA",,,,http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",MODOC NF,WARNER MOUNTAIN RD,CEDARVILLE,CALIFORNIA,"CEDARVILLE,CALIFORNIA",,,,http://www.fs.usda.gov/modoc
"PACIFIC SOUTHWEST REGION, REGION 5",PLUMAS NF,FEATHER RIVER RD,CHALLENGE,CALIFORNIA,"CHALLENGE,CALIFORNIA",Engine,YES,,http://www.fs.usda.gov/plumas/
"PACIFIC SOUTHWEST REGION, REGION 5",LASSEN NF,ALMANOR RD,CHESTER,CALIFORNIA,"CHESTER,CALIFORNIA","Engine, Type 2/2IA Handcrew (Dedicated 20+person), Helitack",YES,,http://www.fs.usda.gov/lassen
"PACIFIC SOUTHWEST REGION, REGION 5",CLEVELAND NF,TRABUCO RD,CORONA,CALIFORNIA,"CORONA,CALIFORNIA",,,,http://www.fs.usda.gov/cleveland
"PACIFIC SOUTHWEST REGION, REGION 5",MENDOCINO NF,COVELO RD,COVELO,CALIFORNIA,"COVELO,CALIFORNIA",,,,http://www.fs.usda.gov/mendocino/
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,YUBA RIVER RD,DOWNIEVILLE,CALIFORNIA,"DOWNIEVILLE,CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",SEQUOIA NF,HUME LAKE RD,DUNLAP,CALIFORNIA,"DUNLAP,CALIFORNIA",,,,http://www.fs.usda.gov/sequoia/
"PACIFIC SOUTHWEST REGION, REGION 5",MENDOCINO NF,GRINDSTONE RD,ELK CREEK,CALIFORNIA,"ELK CREEK,CALIFORNIA",,,,http://www.fs.usda.gov/mendocino/
"PACIFIC SOUTHWEST REGION, REGION 5",LASSEN NF,HAT CREEK RD,FALL RIVER MILLS,CALIFORNIA,"FALL RIVER MILLS,CALIFORNIA",,,,http://www.fs.usda.gov/lassen
"PACIFIC SOUTHWEST REGION, REGION 5",SAN BERNARDINO NF,MOUNTAINTOP RD,FAWNSKIN,CALIFORNIA,"FAWNSKIN,CALIFORNIA",Hotshot Crew,YES,,http://www.fs.usda.gov/sbnf/
"PACIFIC SOUTHWEST REGION, REGION 5",TAHOE NF,AMERICAN RIVER RD,FOREST HILL,CALIFORNIA,"FOREST HILL,CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
"PACIFIC SOUTHWEST REGION, REGION 5",KLAMATH NF,SCOTT-SALMON RD,FORT JONES,CALIFORNIA,"FORT JONES,CALIFORNIA","Engine, Hotshot Crew, WFM, Rappel, Prevention",YES,Often run out of room; WFM is type 2 as of 2021,http://www.fs.usda.gov/klamath
"PACIFIC SOUTHWEST REGION, REGION 5",LOS PADRES NF,MT. PINOS RD,FRAZIER PARK,CALIFORNIA,"FRAZIER PARK,CALIFORNIA","Engine, Helitack, Prevention",YES,,http://www.fs.usda.gov/lpnf
"PACIFIC SOUTHWEST REGION, REGION 5",SIX RIVERS NF,GASQUET RD,GASQUET,CALIFORNIA,"GASQUET,CALIFORNIA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/srnf/
"PACIFIC SOUTHWEST REGION, REGION 5",ELDORADO NF,GEORGETOWN RD,GEORGETOWN,CALIFORNIA,"GEORGETOWN,CALIFORNIA",,,,http://www.fs.usda.gov/eldorado
"PACIFIC SOUTHWEST REGION, REGION 5",ANGELES NF,SAN GABRIEL MOUNTAINS NM,GLENDORA,CALIFORNIA,"GLENDORA,CALIFORNIA",,,,http://www.fs.usda.gov/angeles
"PACIFIC SOUTHWEST REGION, REGION 5",STANISLAUS NF,GROVELAND RD,GROVELAND,CALIFORNIA,"GROVELAND,CALIFORNIA",,,,http://www.fs.usda.gov/stanislaus/
