REGION,FOREST,DISTRICT,TOWN,STATE,LOCATION,Resource Types,Housing?,NOTES,SITE
"PACIFIC NORTHWEST REGION, REGION 6",GIFFORD PINCHOT NF,MT SAINT HELENS NATIONAL VOLCANIC MONUMENT,AMBOY,WASHINGTON,"AMBOY,WASHINGTON",IA Crew/Squad (4-10 person),YES,NICE ASS BUNKHOUSES,http://www.fs.usda.gov/giffordpinchot
"PACIFIC NORTHWEST REGION, REGION 6",WALLOWA-WHITMAN NF,WHITMAN RD,BAKER CITY,OREGON,"BAKER CITY,OREGON",,,,http://www.fs.usda.gov/wallowa-whitman
"PACIFIC NORTHWEST REGION, REGION 6",DESCHUTES NF,BEND/FORT ROCK RD,BEND,OREGON,"BEND,OREGON","Engine, WFM",YES,"No gov housing, but they’ve been putting people up in local college dorms. As far as I know this is still going on.",http://www.fs.usda.gov/centraloregon
"PACIFIC NORTHWEST REGION, REGION 6",FREMONT-WINEMA NFS,BLY RD,BLY,OREGON,"BLY,OREGON","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/fremont-winema
"PACIFIC NORTHWEST REGION, REGION 6",ROGUE RIVER-SISKIYOU NF,,BUTTE FALLS,OREGON,"BUTTE FALLS,OREGON",Engine,YES,,http://www.fs.usda.gov/rogue-siskiyou/
"PACIFIC NORTHWEST REGION, REGION 6",COLUMBIA RIVER GORGE NATIONAL SCENIC AREA,COLUMBIA RIVER GORGE NATIONAL SCENIC AREA,CASCADE LOCKS,OREGON,"CASCADE LOCKS,OREGON",,,,http://www.fs.usda.gov/crgnsa
"PACIFIC NORTHWEST REGION, REGION 6",ROGUE RIVER-SISKIYOU NF,WILD RIVERS RD,CAVE JUNCTION,OREGON,"CAVE JUNCTION,OREGON","Engine, WFM, Rappel, Prevention",YES,,http://www.fs.usda.gov/rogue-siskiyou/
"PACIFIC NORTHWEST REGION, REGION 6",OKANOGAN-WENATCHEE NFS,CHELAN RD,CHELAN,WASHINGTON,"CHELAN,WASHINGTON",IA Crew/Squad (4-10 person),YES,,http://www.fs.usda.gov/okawen
"PACIFIC NORTHWEST REGION, REGION 6",FREMONT-WINEMA NFS,CHEMULT RD,CHEMULT,OREGON,"CHEMULT,OREGON",Engine,YES,,http://www.fs.usda.gov/fremont-winema
"PACIFIC NORTHWEST REGION, REGION 6",FREMONT-WINEMA NFS,CHILOQUIN RD,CHILOQUIN,OREGON,"CHILOQUIN,OREGON",Engine,YES,,http://www.fs.usda.gov/fremont-winema
"PACIFIC NORTHWEST REGION, REGION 6",WALLOWA-WHITMAN NF,HELLS CANYON NATIONAL RECREATION AREA,CLARKSTON,WASHINGTON,"CLARKSTON,WASHINGTON",,,,http://www.fs.usda.gov/wallowa-whitman
"PACIFIC NORTHWEST REGION, REGION 6",OKANOGAN-WENATCHEE NFS,CLE ELUM RD,CLE ELUM,WASHINGTON,"CLE ELUM,WASHINGTON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Fuels, Prevention",YES,"Bunkhouse on station for 8 people. Also have 2 more bunkhouses (1 in Liberty and 1 in Snoqualmie Pass, both about 30 mins away). ",http://www.fs.usda.gov/okawen
"PACIFIC NORTHWEST REGION, REGION 6",MT. BAKER-SNOQUALMIE NF,,CONCRETE,WASHINGTON,"CONCRETE,WASHINGTON",Engine,YES,,http://www.fs.usda.gov/mbs
"PACIFIC NORTHWEST REGION, REGION 6",UMPQUA NF,COTTAGE GROVE RD,COTTAGE GROVE,OREGON,"COTTAGE GROVE,OREGON",,,,http://www.fs.usda.gov/umpqua
"PACIFIC NORTHWEST REGION, REGION 6",DESCHUTES NF,CRESCENT RD,CRESCENT,OREGON,"CRESCENT,OREGON","Engine, IA Crew/Squad (4-10 person), Fuels, Prevention",YES,bunkhouse,http://www.fs.usda.gov/centraloregon
"PACIFIC NORTHWEST REGION, REGION 6",MT. BAKER-SNOQUALMIE NF,DARRINGTON RD,DARRINGTON,WASHINGTON,"DARRINGTON,WASHINGTON",Type 2/2IA Handcrew  (Dedicated 20+person) ,YES,,http://www.fs.usda.gov/mbs
"PACIFIC NORTHWEST REGION, REGION 6",WILLAMETTE NF,DETROIT RD,DETROIT,OREGON,"DETROIT,OREGON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person)",YES,,http://www.fs.usda.gov/willamette
"PACIFIC NORTHWEST REGION, REGION 6",UMPQUA NF,DIAMOND LAKE RD,DIAMOND LAKE RD,OREGON,"DIAMOND LAKE,OREGON",Type 2/2IA Handcrew  (Dedicated 20+person),YES,,http://www.fs.usda.gov/umpqua
"PACIFIC NORTHWEST REGION, REGION 6",MT. HOOD NF,BARLOW RD,DUFUR,OREGON,"DUFUR,OREGON",Engine,YES,,http://www.fs.usda.gov/mthood
"PACIFIC NORTHWEST REGION, REGION 6",OKANOGAN-WENATCHEE NFS,ENTIAT RD,ENTIAT,WASHINGTON,"ENTIAT,WASHINGTON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) , Hotshot Crew",YES,Housing is out of cell service and there isn’t enough for everyone. Most rent a room or live out of vehicles.,http://www.fs.usda.gov/okawen
"PACIFIC NORTHWEST REGION, REGION 6",MT. BAKER-SNOQUALMIE NF,SNOQUALMIE RD,ENUMCLAW,WASHINGTON,"ENUMCLAW,WASHINGTON",,,,http://www.fs.usda.gov/mbs
"PACIFIC NORTHWEST REGION, REGION 6",MT. HOOD NF,CLACKAMAS RIVER RD,ESTACADA,OREGON,"ESTACADA,OREGON",,,,http://www.fs.usda.gov/mthood
"PACIFIC NORTHWEST REGION, REGION 6",OLYMPIC NF,PACIFIC RD,FORKS,WASHINGTON,"FORKS,WASHINGTON",,,,http://www.fs.usda.gov/olympic/
"PACIFIC NORTHWEST REGION, REGION 6",UMPQUA NF,NORTH UMPQUA RD,GLIDE,OREGON,"GLIDE,OREGON",Hotshot Crew,NO,Wolf Creek Hotshots based out of the Umpqua service center in Roseburg. No federal government housing available for shots. ,http://www.fs.usda.gov/umpqua
